Title,Type,Genre,Decade
Back To The Future,Film,Action,1980s
Batman Begins,Film,Action,2000s
The Dark Knight,Film,Action,2000s
The Dark Knight Rises,Film,Action,2010s
Indiana Jones And The Temple Of Doom,Film,Action,1980s
Indiana Jones And The Raiders Of The Lost Ark,Film,Action,1980s
Indiana Jones And The Last Crusade,Film,Action,1980s
Elf,Film,Christmas,2000s
How The Grinch Stole Christmas,Film,Christmas,1960s
Josie And The Pussycats,Film,Comedy,2000s
Dogma,Film,Comedy,1990s
Chasing Amy,Film,Comedy,1990s
Bring It On,Film,Comedy,2000s
(500) Days Of Summer,Film,Comedy,2000s
American Psycho,Film,Comedy,2000s
The Royal Tenenbaums,Film,Comedy,2000s
Midnight In Paris,Film,Comedy,2010s
"I Love You, Man",Film,Comedy,2000s
The Independent,Film,Comedy,2000s
Wayne's World,Film,Comedy,1990s
Tommy Boy,Film,Comedy,1990s
Thank You For Smoking,Film,Comedy,2000s
Ted,Film,Comedy,2010s
Saturday Night Live: The Best Of Chris Farley,Television,Comedy,1990s
The Whole Nine Yards,Film,Comedy,2000s
Withnail and I ,Film,Comedy,1980s
Saturday Night Live: The Best Of Dan Aykroyd,Television,Comedy,1970s
Eddie Murphy: Raw,Television,Comedy,1980s
Friends,Television,Comedy,1990s
The Office,Television,Comedy,2000s
Third Rock From The Sun,Television,Comedy,1990s
King Of Queens,Television,Comedy,1990s
Vicar Of Dibley,Television,Comedy,1990s
Gavin And Stacey,Television,Comedy,2000s
Alan Partridge,Television,Comedy,1990s
League Of Gentlemen,Television,Comedy,2000s
Hitchhikers Guide To The Galaxy,Television,Comedy,1980s
Flight Of The Conchords,Television,Comedy,2000s
Girls,Television,Comedy,2010s
Car Share,Television,Comedy,2010s
Nature Of The Beast,Film,Documentary,2010s
No Direction Home,Film,Documentary,2000s
I Am Chris Farley,Film,Documentary,2020s
Dig!,Film,Documentary,2000s
Goosebumps,Film,Family,2010s
Frozen,Film,Family,2010s
Scooby-Doo Zombie Island,Film,Family,1990s
Monsters Inc.,Film,Family,2000s
Monsters University,Film,Family,2010s
The Muppets,Film,Family,2010s
The Lego Movie,Film,Family,2010s
Labyrinth,Film,Family,1980s
Hey Arnold! The Jungle Movie,Film,Family,2010s
Hey Arnold! The Movie,Film,Family,2000s
The Iron Giant,Film,Family,1990s
Spider-Man Into The Spider-Verse,Film,Family,2010s
Hey Arnold!,Television,Family,2010s
Paeanuts 1960s Collection,Television,Family,1960s
The Wizard Of Oz,Film,Family,1930s
Goosebumps,Television,Family,1990s
Pan's Labyrinth,Film,Fantasy,2000s
The Evil Dead,Film,Horror,1980s
Hellraiser,Film,Horror,1980s
Hellbound Hellraiser II,Film,Horror,1980s
Hellraiser III Hell On Earth,Film,Horror,1990s
Halloween Kills,Film,Horror,2020s
Halloween H20,Film,Horror,1990s
Halloween III Season Of The Witch,Film,Horror,1980s
Halloween,Film,Horror,1970s
House Of Wax,Film,Horror,2000s
Ghost Ship,Film,Horror,2000s
Friday 13th,Film,Horror,1970s
Freaks,Film,Horror,1930s
Frankenhooker,Film,Horror,1990s
The Fly,Film,Horror,1980s
The Faculty,Film,Horror,1990s
Dead Man's Curve,Film,Horror,1990s
Critters,Film,Horror,1980s
Critters 2,Film,Horror,1980s
Critters 3,Film,Horror,1990s
Critters 4,Film,Horror,1990s
Christine,Film,Horror,1980s
Cherry Falls,Film,Horror,1990s
Bride Of Chucky,Film,Horror,1990s
Brain Damage,Film,Horror,1980s
Book Of Shadows: Blair Witch 2,Film,Horror,2000s
Blair Witch Project,Film,Horror,1990s
Basket Case,Film,Horror,1980s
The Banana Splits Movie,Film,Horror,2010s
Scream 3,Film,Horror,2000s
Scream 5,Film,Horror,2020s
